Round,Train_Loss,Train_Accuracy,Test_Loss,Test_Accuracy,Round_Duration_Seconds,Communication_Overhead_MB
1,1.5811574,0.5219667,0.6288890838623047,0.8180833458900452,80.6349561214447,4.8772
2,0.5076663,0.84375,0.3545163869857788,0.8932833075523376,77.8777232170105,4.8772
3,0.34882095,0.89325,0.2764369249343872,0.9166833162307739,81.53273439407349,4.8772
4,0.27908176,0.91576666,0.23056986927986145,0.9308833479881287,79.74131846427917,4.8772
5,0.23483458,0.9295667,0.198167622089386,0.9406499862670898,79.78325390815735,4.8772
6,0.20319955,0.9391,0.17412516474723816,0.9473333358764648,79.25486850738525,4.8772
7,0.1798734,0.94635,0.15570209920406342,0.9534000158309937,81.49347567558289,4.8772
8,0.16172823,0.9519,0.1412356048822403,0.9577999711036682,86.95923352241516,4.8772
9,0.14741729,0.9565167,0.12915703654289246,0.9614166617393494,81.86328125,4.8772
10,0.1357565,0.9599,0.11945856362581253,0.9643999934196472,78.64930248260498,4.8772
Total,,,,,807.7901475429535,48.772
Average,,,,,80.77901475429535,4.8772
